name,series_len,max_shape,min_shapes,avg_shape,std_shape,indx_max,indx_min,pos_max,pos_min,num_crops,num_peaks,num_zero_len,Q1,Q3,IQR,max_x_raw,min_x_raw,max_x_filtered,min_x_filtered,Q1-1.5IQR,Q3+1.5IQR,Q1-3IQR,Q3+3IQR,90thP,10thP,95thP,05thP,below_1.5IQR,above_1.5IQR,below_3IQR,above_3IQR,below_10th,above_90th,below_05th,above_95th
S090_250.mat,450000,460,72,227,52,1030,499,211005,100156,1982,1982,1,197.0,263.0,66.0,194.997945971375,-199.524783581721,1.0,0.0,98.0,362.0,-1.0,461.0,285.0,153.0,308.0,140.0,14,18,0,0,197,197,97,98
S091_250.mat,450000,423,64,245,47,0,1121,423,273439,1831,1831,1,235.0,263.0,28.0,162.17402648049,-141.714875581934,1.0,0.0,193.0,305.0,151.0,347.0,293.0,180.0,320.5,151.5,217,134,90,48,181,182,92,92
S092_250.mat,450000,413,73,239,35,1807,718,432582,173896,1878,1878,1,223.0,256.0,33.0,29.7140807786285,-33.7126317085806,1.0,0.0,173.5,305.5,124.0,355.0,279.29999999999995,206.0,297.14999999999986,182.0,71,76,14,12,183,188,93,94
S093_250.mat,450000,330,73,183,26,0,1459,330,272518,2448,2448,1,174.0,193.0,19.0,33.8564539647333,-42.2506648810502,1.0,0.0,145.5,221.5,117.0,250.0,209.0,159.0,229.0,142.0,134,156,56,56,244,242,122,119
S094_250.mat,450000,325,60,163,29,901,2210,147614,362453,2761,2761,1,150.0,173.0,23.0,145.775741107732,-115.026132950046,0.9999999999999998,0.0,115.5,207.5,81.0,242.0,193.0,129.0,215.0,110.0,175,185,14,52,269,272,134,136
S095_250.mat,450000,344,67,176,31,0,716,344,135915,2556,2556,1,158.0,191.0,33.0,355.435669655719,-259.977161256207,0.9999999999999999,0.0,108.5,240.5,59.0,290.0,209.0,143.0,233.0,121.0,77,92,1,11,252,251,127,126
S096_250.mat,450000,387,79,212,41,1888,1159,398342,227720,2114,2114,1,184.0,235.0,51.0,286.376456480258,-206.503243409837,1.0,0.0,107.5,311.5,31.0,388.0,254.0,161.0,283.0,150.0,21,52,1,0,208,207,102,102
S097_250.mat,450000,352,81,215,31,893,1664,188654,361737,2088,2088,1,197.0,233.0,36.0,13.5733161795853,-15.4304884688595,1.0,0.0,143.0,287.0,89.0,341.0,255.0,184.0,269.0,170.0,34,38,3,2,199,202,100,102
S098_250.mat,450000,479,82,241,41,1743,633,417994,143310,1867,1867,1,220.0,263.0,43.0,142.041567134178,-154.322006012266,1.0,0.0,155.5,327.5,91.0,392.0,283.0,193.0,307.0,170.0,56,54,3,6,183,186,89,91
S099_250.mat,450000,373,63,190,32,0,792,373,152758,2358,2358,1,177.0,208.0,31.0,35.6135060044551,-43.6242762626726,1.0,0.0,130.5,254.5,84.0,301.0,225.0,156.70000000000002,244.1500000000001,134.0,104,80,8,11,236,227,114,118
S100_250.mat,450000,339,61,179,33,0,63,339,12632,2505,2505,1,161.0,194.0,33.0,61.7942711383433,-60.3356225420841,1.0,0.0,111.5,243.5,62.0,293.0,221.0,145.0,240.0,122.0,95,111,2,11,242,247,123,120
S101_250.mat,450000,368,64,186,43,1909,1735,356417,325793,2412,2412,1,157.0,214.0,57.0,219.758255519954,-248.274792948582,1.0,0.0,71.5,299.5,-14.0,385.0,236.0,134.0,259.0,119.0,5,36,0,0,234,240,117,120
S102_250.mat,450000,309,49,148,26,1948,2903,289436,430069,3037,3037,1,137.0,161.0,24.0,438.747285434494,-376.702379097499,1.0,0.0,101.0,197.0,65.0,233.0,177.0,115.0,191.0,101.0,146,116,10,19,285,301,146,146
S103_250.mat,450000,307,37,175,30,192,2563,36671,449752,2565,2565,0,165.0,186.0,21.0,192.197844076788,-229.499471030123,1.0,0.0,133.5,217.5,102.0,249.0,206.0,142.0,227.0,116.20000000000002,208,180,71,60,250,250,129,127
S104_250.mat,450000,368,58,154,37,1419,186,202267,29173,2914,2914,1,129.0,175.0,46.0,155.01501974023,-186.249765869411,1.0,0.0,60.0,244.0,-9.0,313.0,200.0,114.0,224.0,98.0,2,73,0,4,286,289,140,144
S105_250.mat,450000,442,69,186,53,665,916,131666,181327,2409,2409,1,146.0,228.0,82.0,85.6927418740658,-55.9888592524477,1.0,0.0,23.0,351.0,-100.0,474.0,258.0,129.0,277.0,111.0,1,15,0,0,238,236,120,116
S106_250.mat,450000,378,67,185,42,216,272,41199,53340,2428,2428,1,163.0,206.0,43.0,188.522395675746,-294.01801680123,1.0,0.0,98.5,270.5,34.0,335.0,236.30000000000018,136.0,259.0,112.0,63,93,1,10,242,243,120,117
