name,series_len,max_shape,min_shapes,avg_shape,std_shape,indx_max,indx_min,pos_max,pos_min,num_crops,num_peaks,num_zero_len,Q1,Q3,IQR,max_x_raw,min_x_raw,max_x_filtered,min_x_filtered,Q1-1.5IQR,Q3+1.5IQR,Q1-3IQR,Q3+3IQR,90thP,10thP,95thP,05thP,01thP,99thP,below_1.5IQR,above_1.5IQR,below_3IQR,above_3IQR,below_10th,above_90th,below_05th,above_95th,below_01th,above_99th
S041_128.mat,230426,249,36,82,12,2794,803,230425,65382,2795,2795,0,81.0,86.0,5.0,14.6864651986517,-13.4803277310718,10.98740521431442,-14.016429377031251,73.5,93.5,66.0,101.0,93.0,71.0,98.0,53.0,45.0,117.05999999999995,312,232,238,107,267,232,100,136,21,28
S042_128.mat,230261,264,32,86,19,2657,2354,230259,203699,2658,2658,0,78.0,95.0,17.0,284.231417760909,-262.161817681247,236.0707630307873,-174.69945061284398,52.5,120.5,27.0,146.0,109.0,59.0,119.0,52.0,41.0,137.0,139,114,0,6,254,263,125,125,24,24
S043_128.mat,230317,293,23,86,19,2674,1764,230316,163261,2675,2675,0,72.0,101.0,29.0,70.7656923464925,-80.7897548960833,42.94960016262145,-69.88811483141802,28.5,144.5,-15.0,188.0,111.0,62.0,117.0,57.0,46.0,139.0,2,20,0,1,238,249,129,130,23,25
S044_128.mat,230206,303,34,111,20,2064,1638,230205,182850,2065,2065,0,105.0,119.0,14.0,14.790865093645,-14.902318775454,8.00759748154815,-9.535513963213628,84.0,140.0,63.0,161.0,132.0,86.0,147.0,77.0,55.0,167.0,164,134,58,39,196,206,101,99,18,20
S045_128.mat,230379,273,19,91,20,2524,2275,230378,206359,2525,2525,0,78.0,104.0,26.0,41.0536378108517,-63.1963084057702,42.399012741474735,-43.4336110255248,39.0,143.0,0.0,182.0,116.0,65.0,125.0,57.0,45.0,146.75999999999976,9,33,0,1,243,243,117,123,25,26
S046_128.mat,230374,305,39,103,14,2219,716,230373,76452,2220,2220,0,96.0,110.0,14.0,27.074564423093,-24.7023406783833,15.484565341058245,-19.34513904192977,75.0,131.0,54.0,152.0,119.0,89.0,127.04999999999973,81.0,64.0,146.80999999999995,59,76,9,13,221,209,110,111,22,23
S047_128.mat,230345,355,37,120,29,1907,439,230344,55082,1908,1908,0,104.0,135.0,31.0,50.4776381177033,-57.8774813126502,30.304845843153156,-47.959140292318374,57.5,181.5,11.0,228.0,157.0,86.0,170.64999999999986,74.0,51.0,201.86000000000013,35,53,0,1,183,185,91,96,19,20
S048_128.mat,230270,251,26,81,18,2839,710,230269,57378,2840,2840,0,70.0,91.0,21.0,266.253146900901,-282.901995144596,156.35186799223857,-187.1949600437797,38.5,122.5,7.0,154.0,103.0,58.0,112.0,50.95000000000002,40.0,132.0,22,66,0,3,281,264,142,136,28,28
S049_128.mat,230288,273,32,106,25,2157,1397,230287,150264,2158,2158,0,92.0,122.0,30.0,33.3616277393571,-26.575181324674,22.82594931599329,-20.593228802730028,47.0,167.0,2.0,212.0,133.0,76.0,147.0,65.0,47.57,170.42999999999984,21,29,0,5,210,208,107,105,22,22
S050_128.mat,230334,270,29,96,15,2382,838,230333,83591,2383,2383,0,90.0,104.0,14.0,45.4450992074019,-40.5735918126758,26.76622476834603,-28.859345511179946,69.0,125.0,48.0,146.0,113.0,81.0,121.0,71.0,46.82,141.0,110,73,28,16,225,226,117,119,24,23
S051_128.mat,230289,236,21,86,25,2662,1963,230225,171939,2663,2663,0,68.0,104.0,36.0,216.556099991639,-282.464725473922,180.21133204224148,-134.52438417496052,14.0,158.0,-40.0,212.0,117.0,52.0,127.0,47.0,37.620000000000005,152.3800000000001,0,16,0,1,243,251,132,133,27,27
S052_128.mat,230401,265,28,89,18,2580,1383,230400,122010,2581,2581,0,83.0,96.0,13.0,290.141890524717,-263.610974197009,172.98105622394468,-153.39654468043338,63.5,115.5,44.0,135.0,109.0,63.0,121.0,54.0,43.0,138.19999999999982,261,184,28,38,249,253,128,124,24,26
S053_128.mat,230311,286,35,111,24,2058,409,230310,42586,2059,2059,0,96.0,126.0,30.0,28.9890422814217,-23.444136992776,19.70121186701546,-17.070094441944786,51.0,171.0,6.0,216.0,142.0,84.0,152.0,75.0,52.0,182.42000000000007,14,32,0,2,192,197,96,100,20,21
S054_128.mat,230292,323,43,134,26,1705,1537,230291,208010,1706,1706,0,125.0,147.0,22.0,125.574714800682,-160.882831417124,104.77154708201698,-108.56098979572548,92.0,180.0,59.0,213.0,165.0,100.0,179.0,87.0,71.0,211.0,122,78,6,16,169,166,82,80,16,17
S055_128.mat,230361,331,36,137,20,1677,1341,230360,183672,1678,1678,0,131.0,144.0,13.0,217.721571140662,-230.38922231526,175.16029925862847,-166.94483763439564,111.5,163.5,92.0,183.0,156.29999999999995,115.0,171.0,99.0,76.31,198.69000000000005,141,117,54,37,166,168,75,81,17,17
S056_128.mat,230270,321,40,123,24,1858,756,230269,89661,1859,1859,0,115.0,132.0,17.0,278.648462413994,-335.001408889145,198.20425163672735,-231.96104925098484,89.5,157.5,64.0,183.0,148.0,99.0,166.0,82.0,52.0,198.0,131,129,38,41,185,182,91,90,17,18
